City,Date,PM2.5,PM10,NO2,CO,SO2
Hà Nội,2/22/2021,104,1,20,3,1
Đà Nẵng,2/22/2021,,,1,11,7
Nha Trang,2/22/2021,,,1,2,4
Hà Nội,2/22/2021,138,73,9,6,
Hà Nội,2/22/2021,90,53,5,4,
Hà Nội,2/22/2021,133,69,24,7,
Hà Nội,2/22/2021,99,59,,6,
Cao Bằng,2/22/2021,119,89,,,
Hồ Chí Minh ,2/23/2021,155,,,,
Hà Nội,2/23/2021,,,,,
Hà Nội,2/23/2021,124,,4.6,0.2,3.6
Gia Lai,2/19/2021,31,25,1,1,2
Thừa Thiên Huế,2/23/2021,40,24,,2,
Hà Nội,2/23/2021,113,66,32,5,1
Bắc Ninh,2/23/2021,59,51,13,2,4
Lào Cai,2/23/2021,40,13,6,29,78
Hạ Long,2/23/2021,16,12,,,
Quảng Ninh,2/23/2021,5,3,32,5,24.8
Bắc Ninh,2/23/2021,61,42,3,1,3
Bắc Ninh,2/23/2021,60,39,1,4,1
Hà Nội,2/23/2021,116,78,42,32,
Hà Nội,2/23/2021,82,45,39,4,
Hà Nội,2/23/2021,83,54,21,4,
Hà Nội,2/23/2021,59,1,17,4,1
Đà Nẵng,2/23/2021,,,1,6,6
Nha Trang,2/23/2021,,,1,1,4
Hà Nội,2/23/2021,118,83,13,15,
Hà Nội,2/23/2021,82,51,12,4,
Hà Nội,2/23/2021,117,78,11,9,
Hà Nội,2/23/2021,87,57,,5,
Cao Bằng,2/23/2021,98,86,,,
Hồ Chí Minh ,2/24/2021,87,,,,
Hà Nội,2/24/2021,,,,,
Hà Nội,2/24/2021,119,,1,0.1,3.6
Gia Lai,2/24/2021,52,38,12,4,2
Thừa Thiên Huế,2/24/2021,26,50,,3,
Hà Nội,2/24/2021,100,71,30,10,1
Bắc Ninh,2/24/2021,50,47,11,2,4
Lào Cai,2/24/2021,81,30,6,30,23
Hạ Long,2/24/2021,16,9,,,
Quảng Ninh,2/24/2021,2,2,3,4,25
Bắc Ninh,2/24/2021,57,42,4,1,4
Bắc Ninh,2/24/2021,50,35,1,4,1
Hà Nội,2/24/2021,92,52,37,30,
Hà Nội,2/24/2021,82,47,39,3,
Hà Nội,2/24/2021,75,52,21,4,
Hà Nội,2/23/2021,95,1,27,9,1
Đà Nẵng,2/24/2021,,,1,2,7
Nha Trang,2/24/2021,,,1,1,4
Hà Nội,2/24/2021,102,60,10,6,
Hà Nội,2/24/2021,86,52,9,4,
Hà Nội,2/24/2021,113,63,23,4,
Hà Nội,2/24/2021,94,55,,5,
Cao Bằng,2/24/2021,113,122,,,
Hồ Chí Minh ,2/27/2021,104,,,,
Hà Nội,2/27/2021,,,,,
Hà Nội,2/27/2021,93,,1.4,0.2,3.6
Gia Lai,2/27/2021,97,57,21,6,2
Thừa Thiên Huế,2/27/2021,48,59,,2,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,2/27/2021,44,27,14,3,3
Lào Cai,2/27/2021,31,7,,43,100
Hạ Long,2/27/2021,26,14,,,
Quảng Ninh,2/27/2021,3,2,12,6,4
Bắc Ninh,2/27/2021,70,52,4,3,4
Bắc Ninh,2/27/2021,60,40,5,4,2
Hà Nội,2/27/2021,79,48,29,12,
Hà Nội,2/27/2021,88,51,40,5,
Hà Nội,2/27/2021,65,47,20,7,
Hà Nội,2/25/2021,1,54,59,2,1
Đà Nẵng,2/27/2021,,,1,4,6
Nha Trang,2/27/2021,,,1,1,4
Hà Nội,2/27/2021,97,62,9,10,
Hà Nội,2/27/2021,74,49,10,6,
Hà Nội,2/27/2021,112,59,16,5,
Hà Nội,2/27/2021,72,48,,6,
Cao Bằng,2/27/2021,90,198,,,
Hồ Chí Minh ,3/2/2021,61,,,,
Hà Nội,3/2/2021,,,,,
Hà Nội,3/2/2021,59,,7.4,0.1,3.6
Gia Lai,3/2/2021,15,14,5,2,2
Thừa Thiên Huế,3/2/2021,24,16,,2,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,3/2/2021,54,32,8,3,7
Lào Cai,3/2/2021,15,4,2,33,53
Hạ Long,3/2/2021,19,11,,,
Quảng Ninh,3/2/2021,6,6,12,6,14
Bắc Ninh,3/2/2021,26,20,3,3,4
Bắc Ninh,3/2/2021,28,23,4,4,3
Hà Nội,3/2/2021,63,50,19,20,
Hà Nội,3/2/2021,40,28,11,4,
Hà Nội,3/2/2021,39,36,20,6,
Hà Nội,2/25/2021,1,54,59,2,1
Đà Nẵng,3/2/2021,,,1,3,7
Nha Trang,3/2/2021,,,1,1,4
Hà Nội,3/2/2021,62,56,16,10,
Hà Nội,3/2/2021,42,35,12,7,
Hà Nội,3/2/2021,68,57,11,8,
Hà Nội,3/2/2021,44,32,,6,
Cao Bằng,3/2/2021,48,80,,,
Hồ Chí Minh ,3/3/2021,65,,,,
Hà Nội,3/3/2021,,,,,
