Station ID,Date,PM2.5,PM10,NO2,CO,SO2
13250,3/14/2021,47,7,3,34,99
5507,3/14/2021,35,21,,,
11778,3/14/2021,28,21,9,4,6
12958,3/12/2021,,,8,2,6
12957,3/14/2021,69,49,3,4,1
13015,3/14/2021,88,68,23,37,
13018,3/14/2021,65,45,10,5,
13019,3/14/2021,70,56,36,7,
13026,3/14/2021,82,57,21,3,1
1584,3/14/2021,,,11,4,15
1585,3/14/2021,,,2,2,4
13017,3/14/2021,91,71,20,12,
13020,3/14/2021,62,47,10,8,
13013,3/14/2021,86,68,20,14,
13014,3/14/2021,70,54,,6,
13252,3/14/2021,1,2,,,2
8767,3/16/2021,78,,,,
8688,3/16/2021,,,,,
8641,3/16/2021,80,,6.9,0.1,3.6
13012,3/16/2021,104,60,15,5,2
12488,3/16/2021,32,30,,6,
13251,2/26/2021,1,1,50,12,1
12976,3/16/2021,,,8,3,5
13250,3/15/2021,29,7,6,32,40
5507,3/16/2021,24,13,,,
11778,3/16/2021,22,15,7,4,4
12958,3/12/2021,,,8,2,6
12957,3/16/2021,55,39,8,4,1
13015,3/16/2021,57,52,29,27,
13018,3/16/2021,52,37,5,3,
13019,3/16/2021,91,57,24,8,
13026,3/16/2021,66,56,15,5,1
1584,3/16/2021,,,11,2,19
1585,3/16/2021,,,1,2,4
13017,3/16/2021,97,67,12,6,
13020,3/16/2021,40,31,4,2,
13013,3/16/2021,105,73,14,10,
13014,3/16/2021,91,59,,7,
13252,3/16/2021,87,150,,,4
8767,3/24/2021,59,,,,
8688,3/24/2021,160,,,,
8641,3/24/2021,190,,9.2,0.1,9.2
13012,3/24/2021,11,14,7,3,2
12488,3/24/2021,10,8,,11,
13251,2/26/2021,1,1,50,12,1
12976,3/21/2021,57,36,6,3,5
13250,3/24/2021,103,23,2,32,45
5507,3/24/2021,24,14,,,
11778,3/22/2021,45,50,4,98,10
12958,3/24/2021,85,66,9,3,10
12957,3/24/2021,132,89,16,4,23
13015,3/24/2021,133,94,25,18,
13018,3/24/2021,71,51,8,4,
