City,Date time,PM2.5,PM10,NO2,CO,SO2
Hà Nội,11/7/2021 8:00,86,65,32,19,
Hà Nội,11/7/2021 8:00,42,33,16,3,
Hà Nội,11/7/2021 8:00,86,73,23,23,
Hà Nội,11/7/2021 8:00,35,29,,2,
Cao Bằng,11/3/2021 17:00,21,54,,,5
Hồ Chí Minh ,11/10/2021 10:00,97,,,,
Hà Nội,8/17/2021 22:00,52,,,,
Hà Nội,11/10/2021 10:00,59,,7.8,0.1,6.1
Gia Lai,11/10/2021 10:00,6,6,1,1,1
Thừa Thiên Huế,11/10/2021 10:00,,,,10,
Hà Nội,10/7/2021 8:00,,,,10,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,11/10/2021 11:00,99.2,1,,45,500
Hạ Long,11/10/2021 7:00,,,12,,
Quảng Ninh,11/10/2021 10:00,18,35,5,25,23
Bắc Ninh,11/10/2021 10:00,,,2,1,11
Bắc Ninh,11/10/2021 10:00,,,,6,7
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,11/10/2021 8:00,4,3,3,1,
Hà Nội,11/10/2021 8:00,40,33,33,5,
Hà Nội,11/10/2021 10:00,74,52,13,4,
Đà Nẵng,11/9/2021 0:00,11,7,11,1,12
Nha Trang,11/10/2021 10:00,,,1,4,7
Hà Nội,11/10/2021 8:00,46,55,20,15,
Hà Nội,11/10/2021 8:00,27,19,21,3,
Hà Nội,11/10/2021 8:00,52,57,24,19,
Hà Nội,11/10/2021 8:00,32,25,,5,
Cao Bằng,11/10/2021 10:00,50,92,,,3
Hồ Chí Minh ,11/16/2021 12:00,65,,,,
Hà Nội,8/17/2021 22:00,52,,,,
Hà Nội,11/16/2021 12:00,174,,17.9,0.1,7.1
Gia Lai,11/16/2021 13:00,5,4,1,1,1
Thừa Thiên Huế,11/16/2021 13:00,,,,5,
Hà Nội,10/7/2021 8:00,,,,10,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,11/16/2021 13:00,99.1,1,,50,500
Hạ Long,11/16/2021 12:00,,,29,,
Quảng Ninh,11/16/2021 13:00,46,46,14,7,34
Bắc Ninh,11/16/2021 13:00,,,5,3,11
Bắc Ninh,11/15/2021 5:00,,,,6,8
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,11/16/2021 11:00,95,51,11,3,
Hà Nội,11/16/2021 11:00,167,94,42,6,
Hà Nội,11/16/2021 12:00,146,102,21,6,
Đà Nẵng,11/9/2021 0:00,11,7,11,1,12
Nha Trang,11/16/2021 12:00,,,1,5,7
Hà Nội,11/16/2021 11:00,178,140,53,19,
Hà Nội,11/16/2021 7:00,69,43,23,5,
Hà Nội,11/16/2021 11:00,162,119,41,15,
Hà Nội,11/16/2021 11:00,186,105,,7,
Cao Bằng,11/16/2021 13:00,101,64,10,,1
Hồ Chí Minh ,11/20/2021 9:00,114,,,,
Hà Nội,8/17/2021 22:00,52,,,,
Hà Nội,11/20/2021 10:00,158,,11.9,0.2,5.1
Gia Lai,11/20/2021 9:00,27,18,1,1,2
Thừa Thiên Huế,11/20/2021 10:00,,,,8,
Hà Nội,10/7/2021 8:00,,,,10,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,11/20/2021 10:00,3,2,2,50,500
Hạ Long,11/20/2021 9:00,,,22,,
Quảng Ninh,11/20/2021 9:00,44,39,20,7,31
Bắc Ninh,11/20/2021 9:00,,,33,4,10
Bắc Ninh,11/20/2021 5:00,,,,6,5
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,11/20/2021 7:00,149,66,12,7,
Hà Nội,11/20/2021 8:00,162,86,24,7,
Hà Nội,11/19/2021 10:00,165,104,22,8,
Đà Nẵng,11/9/2021 0:00,11,7,11,1,12
Nha Trang,11/20/2021 9:00,,,2,6,7
Hà Nội,11/20/2021 8:00,195,154,24,49,
Hà Nội,11/20/2021 2:00,159,75,18,5,
Hà Nội,11/20/2021 5:00,189,145,32,46,
Hà Nội,11/20/2021 8:00,171,93,,8,
Cao Bằng,11/20/2021 10:00,39,31,5,,2
Hồ Chí Minh ,11/26/2021 9:00,89,,,,
Hà Nội,8/17/2021 22:00,52,,,,
Hà Nội,11/26/2021 9:00,151,,11,0.1,6.1
Gia Lai,11/26/2021 9:00,14,11,1,1,1
Thừa Thiên Huế,11/26/2021 9:00,,,,11,
Hà Nội,10/7/2021 8:00,,,,10,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,11/26/2021 9:00,14,8,,50,401
Hạ Long,11/26/2021 9:00,,,26,,
Quảng Ninh,11/26/2021 9:00,48,58,11,8,32
Bắc Ninh,11/26/2021 9:00,,,6,2,10
Bắc Ninh,11/26/2021 9:00,,,,5,17
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,11/25/2021 19:00,40,34,9,4,
Hà Nội,11/25/2021 22:00,129,76,58,13,
Hà Nội,11/26/2021 8:00,124,77,17,4,
Đà Nẵng,11/26/2021 9:00,27,18,12,5,12
Nha Trang,11/26/2021 8:00,,,1,2,7
Hà Nội,11/26/2021 4:00,150,102,26,5,
Hà Nội,11/26/2021 2:00,98,53,21,6,
Hà Nội,11/26/2021 6:00,135,97,34,33,
Hà Nội,11/26/2021 6:00,133,70,,4,
Cao Bằng,11/26/2021 9:00,87,79,20,,1
Hồ Chí Minh ,11/29/2021 14:00,93,,,,
Hà Nội,8/17/2021 22:00,52,,,,
Hà Nội,11/29/2021 14:00,107,,13.3,0.1,6.6
Gia Lai,11/29/2021 15:00,4,4,1,1,1
Thừa Thiên Huế,11/29/2021 15:00,,,,13,
Hà Nội,10/7/2021 8:00,,,,10,
Bắc Ninh,6/28/2021 22:00,67,53,12,5,9
Lào Cai,11/29/2021 15:00,10,5,,50,434
Hạ Long,11/29/2021 14:00,,,15,,
Quảng Ninh,11/29/2021 15:00,66,67,44,12,55
Bắc Ninh,11/29/2021 15:00,,,6,2,14
Bắc Ninh,11/29/2021 15:00,,,,6,13
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,11/29/2021 2:00,143,72,16,6,
Hà Nội,11/29/2021 7:00,89,107,20,5,
Hà Nội,11/29/2021 14:00,148,77,10,2,
Đà Nẵng,11/29/2021 15:00,59,33,12,2,12
Nha Trang,11/29/2021 14:00,,,1,2,7
Hà Nội,11/29/2021 9:00,168,126,40,11,
Hà Nội,11/29/2021 0:00,130,68,30,7,
Hà Nội,11/29/2021 9:00,162,108,37,20,
Hà Nội,11/29/2021 9:00,149,76,,7,
Cao Bằng,11/29/2021 15:00,77,114,5,,2
