City,Date time,PM2.5,PM10,NO2,CO,SO2
Hà Nội,2/18/2021 13:00,124,86,23,20,
Hà Nội,2/18/2021 13:00,105,57,,7,
Cao Bằng,2/18/2021 9:00,78,81,,,
Hồ Chí Minh ,2/20/2021 20:00,80,,,,
Hà Nội,2/20/2021 20:00,,,,,
Hà Nội,2/20/2021 20:00,165,,5.1,0.1,5.6
Gia Lai,2/19/2021 16:00,27,21,2,1,1
Thừa Thiên Huế,2/20/2021 20:00,41,70,,2,
Hà Nội,2/20/2021 19:00,116,61,73,16,2
Bắc Ninh,2/20/2021 20:00,121,66,8,3,4
Lào Cai,2/20/2021 20:00,167,72,6,30,12
Hạ Long,2/20/2021 20:00,31,17,,,
Quảng Ninh,2/20/2021 19:00,8,6,12,6,19.2
Bắc Ninh,2/20/2021 20:00,102,63,6,2,4
Bắc Ninh,2/20/2021 20:00,,,15,3,3
Hà Nội,2/20/2021 19:00,120,69,73,55,
Hà Nội,2/20/2021 19:00,110,61,39,7,
Hà Nội,2/20/2021 19:00,126,73,33,9,
Hà Nội,2/20/2021 19:00,100,62,21,3,1
Đà Nẵng,2/20/2021 20:00,,,1,6,6
Nha Trang,2/20/2021 20:00,,,4,2,4
Hà Nội,2/20/2021 19:00,127,71,18,11,
Hà Nội,2/20/2021 19:00,113,63,15,9,
Hà Nội,2/20/2021 19:00,117,64,13,11,
Hà Nội,2/20/2021 19:00,115,61,,7,
Cao Bằng,2/20/2021 20:00,194,177,,,
Hồ Chí Minh ,2/22/2021 17:00,76,,,,
Hà Nội,2/22/2021 17:00,,,,,
Hà Nội,2/22/2021 17:00,152,,5.1,0.1,4.1
Gia Lai,2/19/2021 18:00,31,25,1,1,2
Thừa Thiên Huế,2/22/2021 17:00,29,55,,2,
Hà Nội,2/22/2021 16:00,127,70,38,10,1
Bắc Ninh,2/22/2021 17:00,85,63,11,2,4
Lào Cai,2/22/2021 17:00,175,65,6,31,85
Hạ Long,2/22/2021 17:00,17,9,,,
Quảng Ninh,2/22/2021 16:00,4,3,7,5,21.8
Bắc Ninh,2/22/2021 17:00,60,50,4,2,3
Bắc Ninh,2/22/2021 17:00,75,50,7,4,1
Hà Nội,2/22/2021 16:00,153,78,53,48,
Hà Nội,2/22/2021 16:00,99,56,39,4,
Hà Nội,2/22/2021 16:00,95,58,19,5,
Hà Nội,2/22/2021 16:00,104,1,20,3,1
Đà Nẵng,2/22/2021 17:00,,,1,11,7
Nha Trang,2/22/2021 17:00,,,1,2,4
Hà Nội,2/22/2021 16:00,138,73,9,6,
Hà Nội,2/22/2021 16:00,90,53,5,4,
Hà Nội,2/22/2021 16:00,133,69,24,7,
Hà Nội,2/22/2021 16:00,99,59,,6,
Cao Bằng,2/22/2021 17:00,119,89,,,
Hồ Chí Minh ,2/23/2021 15:00,155,,,,
Hà Nội,2/23/2021 15:00,,,,,
Hà Nội,2/23/2021 15:00,124,,4.6,0.2,3.6
Gia Lai,2/19/2021 18:00,31,25,1,1,2
Thừa Thiên Huế,2/23/2021 10:00,40,24,,2,
Hà Nội,2/23/2021 14:00,113,66,32,5,1
Bắc Ninh,2/23/2021 15:00,59,51,13,2,4
Lào Cai,2/23/2021 15:00,40,13,6,29,78
Hạ Long,2/23/2021 14:00,16,12,,,
Quảng Ninh,2/23/2021 14:00,5,3,32,5,24.8
Bắc Ninh,2/23/2021 15:00,61,42,3,1,3
